direct_adc,abdomen1_adc,abdomen2_adc,abdomen3_adc,abdomen4_adc
188,-39,-35,62,24
128,-38,-28,56,29
54,-42,-24,50,31
-6,-48,-22,43,33
-31,-53,-23,38,36
-17,-53,-27,36,42
20,-51,-32,34,48
61,-51,-40,34,51
92,-56,-48,37,51
112,-65,-55,44,51
125,-75,-60,56,54
135,-80,-61,70,61
141,-79,-61,83,70
136,-75,-59,90,80
119,-73,-60,89,85
93,-77,-62,82,85
70,-87,-64,73,82
59,-100,-64,65,78
63,-110,-58,60,77
77,-114,-50,58,80
87,-112,-41,57,84
85,-108,-37,54,86
67,-107,-40,51,84
43,-109,-50,48,79
22,-114,-64,47,72
16,-116,-76,48,68
26,-114,-83,51,69
45,-107,-81,53,75
65,-96,-74,53,83
76,-87,-64,51,89
77,-83,-57,47,90
73,-84,-53,45,86
73,-92,-50,44,80
82,-101,-46,45,78
99,-110,-37,49,81
115,-115,-25,54,90
120,-118,-13,58,100
109,-120,-9,60,109
87,-123,-15,60,114
65,-127,-28,58,114
55,-132,-42,58,113
60,-134,-47,61,114
75,-133,-41,66,117
89,-129,-27,70,123
95,-126,-14,71,126
89,-127,-11,67,127
77,-134,-22,59,125
67,-143,-41,50,123
63,-150,-60,45,124
68,-151,-70,45,130
78,-146,-66,53,142
89,-137,-51,67,156
95,-126,-33,84,169
94,-117,-21,103,178
88,-112,-18,119,182
81,-109,-25,130,184
80,-106,-37,135,185
88,-105,-48,131,185
101,-106,-57,121,184
117,-111,-63,105,180
131,-121,-70,88,170
142,-136,-80,71,157
153,-153,-92,57,144
163,-168,-103,47,134
169,-176,-108,42,130
161,-177,-104,41,134
135,-171,-94,46,143
97,-161,-81,55,153
64,-150,-72,65,161
53,-143,-73,73,162
73,-143,-83,75,156
118,-148,-99,71,145
166,-158,-115,62,134
194,-169,-129,52,127
192,-177,-137,45,128
163,-180,-141,43,134
126,-179,-141,45,142
99,-175,-139,51,148
90,-173,-137,56,150
98,-173,-136,59,148
111,-174,-137,60,144
115,-175,-139,60,140
105,-173,-141,61,136
83,-168,-140,63,130
58,-161,-137,65,120
39,-156,-132,66,104
33,-155,-128,65,86
41,-159,-128,62,70
56,-164,-131,58,62
72,-166,-133,57,66
87,-162,-127,60,80
103,-151,-111,68,100
127,-138,-86,78,119
162,-126,-61,86,133
203,-117,-41,92,140
246,-110,-30,94,148
287,-101,-24,99,165
331,-83,-11,112,199
392,-54,17,140,252
481,-13,61,182,315
597,33,114,231,376
724,76,161,274,421
837,106,190,297,441
916,120,192,295,435
951,118,173,270,412
950,106,140,235,377
921,93,106,202,338
871,83,77,178,296
799,78,54,165,252
698,73,33,155,204
570,64,8,140,154
422,49,-25,115,104
267,27,-64,82,56
118,5,-103,49,13
-18,-13,-136,22,-23
-142,-24,-156,6,-51
-254,-30,-162,0,-67
-348,-32,-157,2,-70
-414,-32,-146,8,-59
-442,-29,-134,15,-41
-425,-22,-123,23,-21
-372,-9,-113,30,-6
-300,8,-103,36,3
-229,24,-93,42,7
-173,36,-82,47,12
-134,41,-73,50,22
-104,41,-68,52,36
-73,41,-66,55,51
-33,46,-65,57,62
15,56,-62,59,65
63,69,-56,62,61
101,79,-46,65,52
123,84,-34,67,43
129,81,-22,68,36
124,72,-13,68,31
116,64,-8,68,26
108,60,-8,70,21
102,63,-11,76,16
99,73,-17,85,12
98,86,-25,93,12
102,98,-32,98,16
109,105,-38,96,22
118,106,-41,89,28
124,103,-41,80,31
124,97,-38,74,29
115,90,-35,71,23
98,84,-33,71,15
77,80,-31,69,8
59,77,-28,64,3
48,77,-24,57,2
49,81,-18,52,3
61,89,-9,54,5
82,102,1,62,8
105,117,8,73,10
125,132,12,82,13
138,142,12,85,18
145,149,10,83,26
147,153,7,77,36
148,156,4,71,45
147,158,2,67,49
144,157,0,61,47
139,149,-2,52,38
132,134,-8,38,26
127,115,-18,21,12
128,96,-31,6,-1
132,84,-46,-4,-13
138,79,-59,-6,-23
140,80,-65,0,-28
137,81,-61,10,-28
132,79,-47,22,-24
128,75,-26,33,-18
129,69,-5,40,-13
135,67,9,41,-10
142,68,14,38,-10
148,70,10,31,-12
155,71,2,23,-12
164,67,-4,18,-11
177,61,-6,16,-9
191,57,-4,17,-8
199,56,-1,18,-11
194,60,0,17,-16
176,65,-1,14,-21
150,68,-4,10,-22
129,67,-6,5,-20
122,61,-3,0,-17
133,54,6,-4,-17
155,51,19,-8,-20
176,52,35,-11,-23
185,57,49,-12,-24
177,66,61,-10,-20
158,75,70,-5,-13
137,83,77,2,-7
124,87,82,8,-7
123,86,86,9,-15
131,81,89,7,-26
139,72,92,4,-35
142,64,96,1,-38
139,61,101,4,-33
133,66,104,11,-24
129,76,103,20,-17
131,87,95,29,-15
134,93,81,34,-19
132,92,62,35,-24
124,86,44,31,-27
111,80,30,26,-27
102,79,20,19,-24
103,85,14,14,-22
114,94,8,8,-23
128,102,1,4,-27
136,104,-3,0,-33
133,101,-1,0,-37
121,95,9,2,-37
108,92,27,7,-34
104,95,46,13,-28
110,101,60,17,-24
122,106,66,18,-25
133,106,63,15,-30
138,101,57,9,-38
136,92,52,3,-46
131,84,49,-2,-50
127,80,49,-5,-51
123,80,47,-6,-48
118,83,42,-6,-44
110,86,33,-5,-39
102,88,24,-3,-34
100,89,18,-2,-29
110,90,14,0,-22
130,92,13,2,-15
151,94,12,4,-7
161,96,11,4,-2
154,96,9,3,2
133,97,8,2,4
113,99,9,2,5
112,102,11,4,6
136,105,14,6,6
174,106,15,8,4
202,103,15,10,1
202,96,14,11,-4
168,88,15,10,-8
119,82,19,8,-10
79,81,25,6,-9
70,84,32,3,-7
91,90,38,1,-5
124,96,41,1,-6
147,101,43,3,-9
152,103,44,8,-14
148,104,45,15,-22
150,104,45,20,-31
167,103,42,24,-40
194,99,36,24,-47
208,94,29,21,-49
195,92,24,20,-46
154,95,25,22,-35
107,106,36,27,-20
79,123,55,36,-5
87,141,78,44,6
124,156,99,49,8
166,163,111,49,3
191,163,111,46,-5
187,158,102,42,-12
165,151,87,38,-13
144,145,73,37,-10
140,139,64,35,-5
157,134,60,31,-4
183,128,60,24,-10
202,122,58,15,-21
207,115,55,7,-35
197,108,49,2,-46
180,102,44,0,-49
163,97,42,-1,-47
149,93,45,-3,-40
137,90,50,-6,-33
126,90,55,-8,-27
121,92,59,-6,-22
129,96,59,2,-18
151,100,55,14,-17
180,102,50,27,-19
204,101,43,36,-24
210,96,38,37,-30
193,88,36,31,-34
164,80,35,22,-34
140,74,36,15,-28
134,72,35,11,-22
147,72,30,11,-19
169,76,20,13,-23
183,81,6,13,-33
180,85,-10,11,-45
162,86,-25,6,-53
140,83,-39,0,-55
127,75,-49,-6,-54
128,65,-56,-13,-52
138,56,-60,-20,-55
151,51,-60,-28,-62
160,52,-56,-37,-72
166,60,-48,-44,-79
170,71,-39,-48,-81
175,81,-28,-48,-77
180,88,-19,-44,-70
180,91,-11,-36,-63
172,91,-7,-29,-60
158,90,-8,-23,-61
143,89,-14,-21,-63
133,88,-24,-21,-63
130,86,-35,-22,-58
132,83,-41,-21,-50
133,79,-41,-17,-41
129,77,-36,-12,-36
121,75,-32,-9,-38
110,73,-37,-8,-47
99,71,-52,-11,-58
90,69,-75,-14,-68
87,68,-97,-14,-72
91,70,-108,-8,-68
105,77,-103,3,-59
128,89,-87,14,-50
157,101,-66,20,-46
181,108,-50,19,-48
194,108,-42,11,-54
193,100,-40,0,-61
181,88,-38,-6,-66
169,79,-31,-6,-67
167,76,-20,1,-65
175,81,-9,7,-62
189,88,-4,9,-60
195,94,-8,3,-62
184,94,-17,-10,-65
158,87,-28,-24,-70
124,76,-35,-34,-74
97,66,-38,-37,-75
89,60,-37,-36,-73
103,63,-34,-33,-68
133,71,-28,-32,-61
164,82,-19,-34,-55
182,89,-6,-38,-50
179,90,8,-39,-47
159,84,20,-37,-48
134,72,27,-31,-49
119,61,26,-24,-50
125,52,19,-18,-51
149,49,10,-17,-49
177,51,3,-20,-47
194,55,1,-25,-43
196,58,2,-31,-38
189,59,1,-35,-34
188,57,-5,-38,-33
201,52,-17,-40,-35
225,45,-33,-42,-40
244,38,-48,-43,-43
239,34,-57,-44,-42
206,34,-58,-42,-35
159,41,-52,-37,-22
124,54,-41,-28,-9
120,69,-30,-15,-2
150,83,-23,-1,-4
191,91,-22,11,-13
217,94,-26,17,-25
209,91,-35,16,-34
172,86,-45,9,-37
132,81,-54,0,-36
117,76,-63,-7,-35
140,72,-72,-11,-36
192,71,-80,-11,-39
246,72,-87,-9,-42
274,76,-92,-9,-42
263,81,-94,-11,-38
224,85,-95,-14,-32
180,84,-93,-18,-29
156,78,-92,-19,-31
162,69,-92,-19,-39
186,59,-93,-19,-50
208,52,-95,-20,-59
209,48,-98,-21,-64
188,49,-101,-20,-61
157,52,-103,-16,-54
135,56,-105,-9,-44
139,60,-106,0,-36
166,63,-107,7,-32
201,65,-109,9,-33
226,65,-114,7,-38
228,63,-120,3,-43
209,61,-125,-1,-47
182,60,-126,-3,-46
163,60,-122,-3,-42
162,60,-112,-4,-37
180,61,-98,-8,-34
208,62,-84,-15,-35
232,63,-73,-24,-42
244,64,-65,-30,-50
238,65,-59,-33,-58
219,64,-54,-30,-60
195,61,-50,-25,-58
177,57,-46,-20,-52
174,53,-45,-17,-47
187,52,-46,-18,-46
209,55,-51,-21,-49
228,62,-57,-25,-55
235,71,-64,-27,-58
226,79,-69,-25,-57
206,82,-72,-21,-49
185,81,-74,-14,-39
172,76,-73,-8,-30
172,72,-70,-2,-24
186,71,-65,4,-23
206,74,-60,8,-24
226,82,-55,12,-25
239,90,-52,13,-26
240,94,-52,12,-26
228,92,-56,8,-25
209,84,-61,2,-26
190,74,-66,-2,-28
179,66,-67,-5,-28
183,64,-62,-6,-27
199,69,-53,-5,-24
221,78,-41,-4,-18
236,85,-32,-1,-12
239,87,-29,3,-6
229,82,-32,8,-1
215,71,-40,12,1
208,60,-47,13,-1
217,52,-50,9,-6
243,51,-48,4,-10
278,56,-42,-2,-11
311,63,-34,-4,-9
333,70,-25,-2,-5
337,73,-17,1,-3
325,71,-10,4,-6
303,65,-5,4,-15
279,57,-2,1,-26
260,51,-3,-4,-33
250,48,-4,-9,-34
251,50,-4,-12,-29
260,54,0,-14,-21
271,58,9,-15,-16
280,60,20,-14,-15
283,60,30,-10,-17
281,58,36,-4,-20
278,58,37,5,-19
274,60,35,12,-14
269,66,30,15,-10
260,73,25,12,-9
245,76,18,2,-11
226,73,13,-11,-16
208,65,9,-24,-21
200,55,8,-33,-23
206,47,11,-37,-22
222,44,16,-38,-20
242,46,21,-37,-19
255,52,23,-36,-22
258,57,23,-37,-26
252,59,20,-41,-31
240,57,16,-46,-35
227,53,12,-50,-35
213,49,10,-52,-31
196,49,11,-47,-22
179,55,17,-34,-11
166,69,28,-14,2
160,89,41,9,13
161,112,54,30,18
165,133,61,43,17
165,147,59,45,12
158,151,49,38,7
146,147,34,27,4
136,136,20,15,3
133,122,12,6,3
134,108,7,-1,0
135,96,4,-8,-9
132,85,-1,-16,-22
128,76,-12,-24,-35
125,70,-28,-31,-47
129,65,-46,-35,-54
134,61,-62,-37,-58
131,57,-76,-39,-60
115,53,-84,-41,-61
88,50,-86,-44,-60
63,50,-82,-46,-57
58,53,-73,-47,-50
80,60,-61,-45,-42
124,66,-51,-42,-33
170,70,-45,-39,-29
198,69,-45,-38,-29
197,65,-48,-39,-33
172,61,-51,-41,-40
142,59,-53,-42,-46
123,61,-50,-42,-51
125,65,-45,-42,-54
142,70,-38,-42,-56
163,76,-31,-43,-56
176,82,-24,-44,-55
175,86,-17,-47,-51
166,88,-12,-51,-46
157,86,-8,-58,-41
156,82,-7,-64,-36
165,77,-9,-67,-30
178,77,-13,-63,-25
189,82,-19,-52,-22
190,93,-27,-36,-22
181,105,-37,-20,-26
167,113,-50,-9,-32
155,114,-64,-4,-39
151,108,-76,-2,-42
153,102,-81,-1,-40
158,99,-76,3,-37
163,101,-64,7,-35
165,106,-49,9,-38
165,109,-37,4,-45
165,106,-32,-6,-53
165,96,-33,-18,-58
165,86,-35,-26,-58
161,79,-36,-27,-55
156,78,-33,-23,-55
153,81,-27,-19,-59
154,85,-22,-19,-68
159,83,-21,-24,-77
164,77,-25,-31,-80
164,66,-31,-35,-74
157,57,-36,-34,-62
150,53,-40,-27,-51
151,54,-44,-18,-45
164,59,-48,-12,-47
184,63,-56,-11,-54
201,65,-66,-13,-60
205,65,-77,-14,-61
193,64,-83,-12,-55
174,64,-83,-5,-47
160,67,-76,2,-41
159,72,-66,6,-42
170,78,-57,5,-48
183,84,-52,1,-53
187,91,-51,-3,-53
178,99,-51,0,-45
163,111,-49,11,-31
150,124,-42,31,-17
146,138,-29,52,-4
152,152,-12,72,6
161,165,7,87,17
165,179,27,100,31
162,195,50,113,51
152,212,76,130,75
141,226,101,149,100
134,235,123,169,122
130,236,137,184,139
128,229,140,192,152
129,217,132,194,162
133,201,117,194,173
139,184,100,193,185
147,162,85,191,197
153,131,72,188,207
153,88,61,180,213
145,35,49,168,217
128,-22,37,156,224
109,-74,27,146,238
93,-115,21,142,262
82,-144,23,142,294
79,-165,31,144,330
85,-186,42,144,362
100,-212,51,140,385
127,-244,54,133,398
166,-278,50,124,403
216,-311,40,113,406
275,-339,26,101,412
339,-362,15,87,421
405,-380,11,74,435
472,-392,18,68,453
542,-397,36,72,473
616,-393,61,88,496
693,-381,83,111,518
770,-364,96,132,531
840,-346,93,141,528
892,-332,74,131,502
917,-321,44,102,452
908,-311,7,61,383
864,-298,-30,16,302
789,-278,-65,-25,219
692,-253,-97,-62,136
579,-224,-129,-96,51
457,-194,-162,-131,-37
328,-167,-193,-170,-127
195,-145,-222,-209,-213
60,-129,-244,-242,-285
-69,-117,-259,-266,-337
-181,-109,-263,-276,-364
-268,-101,-256,-274,-371
-318,-89,-240,-262,-364
-330,-71,-216,-247,-352
-306,-48,-190,-231,-341
-259,-23,-166,-219,-332
-204,-2,-147,-211,-324
-154,14,-135,-205,-313
-116,25,-125,-198,-298
-88,32,-116,-190,-279
-58,40,-104,-178,-261
-16,49,-93,-165,-246
41,59,-85,-152,-237
105,66,-85,-140,-232
160,69,-91,-130,-228
190,68,-100,-121,-219
190,66,-106,-112,-202
168,66,-104,-101,-180
141,70,-96,-88,-157
126,76,-84,-77,-139
133,80,-74,-70,-131
158,80,-69,-67,-130
186,75,-68,-67,-132
202,66,-70,-66,-130
198,57,-71,-61,-120
176,53,-70,-51,-102
148,52,-67,-37,-82
128,55,-64,-24,-65
126,57,-62,-16,-55
142,57,-61,-14,-52
167,55,-59,-15,-51
186,55,-55,-15,-47
188,58,-48,-12,-38
172,64,-39,-3,-24
145,73,-27,8,-9
121,80,-16,16,2
111,84,-10,20,5
119,84,-9,18,0
143,82,-16,15,-10
172,81,-29,13,-21
192,80,-43,14,-27
197,81,-54,18,-27
184,82,-59,21,-21
159,81,-59,22,-12
134,81,-55,19,-4
117,81,-53,13,-2
115,84,-55,9,-7
126,88,-58,7,-15
144,91,-57,11,-23
160,92,-49,20,-25
168,92,-35,32,-20
168,90,-17,44,-12
165,91,-5,54,-5
165,94,-3,58,-3
169,99,-11,55,-7
175,104,-23,46,-14
180,106,-33,34,-20
182,106,-33,24,-23
185,104,-24,19,-23
190,103,-12,22,-21
198,105,-4,30,-20
202,108,-3,42,-20
190,111,-10,52,-21
160,112,-20,56,-20
120,110,-27,54,-16
87,108,-27,46,-9
80,107,-23,35,-2
105,110,-18,23,3
151,115,-15,13,4
192,118,-15,6,3
206,119,-19,4,2
183,117,-21,8,3
136,115,-19,18,7
91,116,-10,31,14
70,120,4,45,20
79,126,21,53,22
108,131,33,54,20
134,130,38,48,13
143,125,34,39,7
133,118,26,33,3
118,114,18,35,6
113,116,19,45,13
121,125,30,61,25
138,139,50,78,38
149,153,73,89,49
146,165,93,92,58
132,171,104,89,64
116,172,109,83,68
111,170,109,75,70
120,166,109,67,70
137,162,108,60,67
149,160,107,53,62
149,159,101,45,53
136,157,90,36,44
116,151,77,29,35
97,141,64,25,29
86,126,54,25,27
85,111,49,29,28
94,98,46,36,31
113,91,43,43,33
142,92,38,48,33
177,98,31,46,30
209,104,21,38,26
227,106,11,24,23
220,100,2,6,23
186,89,-7,-9,27
136,75,-11,-17,35
91,66,-10,-16,45
70,66,-2,-6,55
82,73,14,10,65
121,82,32,27,72
167,88,47,41,77
196,86,55,51,80
195,75,52,56,82
167,62,39,56,81
128,51,23,53,80
99,47,8,48,81
93,51,0,41,84
110,60,-1,36,90
139,69,3,34,98
165,77,7,35,106
179,80,8,38,110
177,79,2,41,109
162,75,-10,41,106
140,70,-24,38,102
119,64,-37,35,101
102,60,-45,35,103
93,59,-48,39,105
91,62,-47,46,104
94,66,-47,51,99
97,68,-49,52,92
98,65,-53,47,88
96,59,-55,40,91
95,52,-52,36,103
99,47,-42,38,119
112,47,-24,46,134
130,52,-3,55,140
146,57,16,58,136
154,58,28,54,125
150,55,32,44,115
138,47,28,33,113
125,39,19,28,120
117,34,12,31,132
113,34,10,39,140
111,40,15,49,140
104,48,24,53,129
90,54,34,48,112
72,56,39,37,96
59,52,40,23,89
56,44,38,14,92
66,34,38,12,101
83,27,42,18,112
97,25,49,29,116
100,27,57,39,114
89,29,57,44,107
73,28,47,42,101
62,22,28,34,101
66,12,6,26,107
83,4,-12,23,115
105,2,-22,25,120
115,6,-26,32,117
107,14,-29,39,108
83,19,-36,42,98
57,17,-47,40,91
47,9,-57,35,92
60,0,-60,30,98
90,-7,-55,28,104
121,-8,-45,30,106
135,-5,-36,34,102
124,-1,-33,36,95
94,-1,-36,34,91
62,-4,-41,29,93
46,-8,-40,24,100
52,-12,-33,20,108
76,-15,-23,20,113
102,-19,-16,23,112
116,-25,-16,27,107
111,-34,-22,31,102
90,-42,-25,33,102
65,-44,-21,33,107
47,-41,-5,32,116
45,-33,16,32,123
57,-25,36,36,128
77,-20,47,43,128
95,-18,49,54,127
104,-16,46,66,129
99,-11,43,76,136
81,-2,43,83,146
55,6,45,84,154
30,9,45,79,154
15,2,40,70,143
15,-14,29,58,124
34,-36,17,47,102
65,-58,8,37,86
98,-75,5,28,80
121,-86,6,21,84
126,-91,10,15,92
116,-92,13,11,98
98,-93,12,8,99
83,-96,10,8,95
79,-101,6,11,92
82,-107,2,15,93
85,-114,-2,19,100
79,-120,-4,20,111
62,-122,-5,19,121
41,-121,-5,17,127
28,-117,-3,16,126
31,-112,0,17,121
53,-110,4,18,114
84,-112,7,17,107
112,-116,11,14,104
125,-120,16,9,105
123,-123,24,4,109
111,-122,35,3,114
100,-118,48,4,118
96,-113,59,7,119
98,-110,64,9,117
100,-110,65,11,115
94,-114,64,13,114
80,-119,64,15,116
63,-124,67,20,117
52,-126,72,25,118
53,-125,76,29,114
68,-123,73,29,108
88,-121,63,27,100
106,-120,49,25,93
113,-120,37,23,91
112,-119,31,23,91
107,-114,32,23,92
106,-106,38,22,91
114,-96,45,19,87
128,-87,47,14,83
140,-83,44,11,79
142,-83,37,11,79
131,-85,31,13,83
111,-86,28,15,89
93,-83,31,16,95
89,-76,39,16,97
104,-68,49,16,96
131,-61,58,16,91
156,-57,63,16,86
159,-56,65,15,84
133,-53,66,14,85
85,-46,71,12,89
36,-34,82,14,93
9,-19,100,21,93
14,-3,120,34,89
43,9,139,48,81
75,17,151,60,73
91,22,154,64,69
84,26,151,63,69
62,32,146,58,74
46,41,143,56,80
48,51,144,58,85
68,59,147,64,87
95,63,148,70,86
112,63,142,70,82
112,60,130,64,75
98,57,115,52,68
79,56,101,40,60
64,57,92,31,53
55,59,89,26,47
50,60,90,27,45
47,60,93,29,46
46,60,94,30,49
50,62,94,31,51
61,67,92,29,51
75,75,89,27,47
83,82,87,25,39
79,86,85,23,29
62,86,83,20,19
39,85,82,19,11
23,83,80,20,8
20,84,79,24,8
31,85,79,31,12
50,87,82,39,16
68,88,88,43,20
78,89,97,43,23
82,93,108,39,24
84,101,120,32,27
85,114,130,26,31
85,130,137,25,38
83,144,143,29,46
75,154,148,37,54
64,160,152,47,56
54,163,153,54,52
51,162,150,55,41
56,159,139,50,27
66,151,120,39,12
75,137,98,26,1
80,120,76,13,-7
81,106,61,5,-13
79,98,54,4,-18
77,101,54,8,-24
74,110,57,14,-29
68,121,58,16,-33
59,126,57,13,-34
48,122,53,6,-32
41,112,48,-2,-29
44,102,46,-6,-27
57,99,49,-5,-25
76,104,58,0,-23
96,115,72,5,-22
112,128,88,7,-22
124,136,99,7,-21
134,136,103,5,-19
147,130,99,5,-18
161,121,89,8,-17
171,113,76,12,-16
173,109,64,15,-18
163,109,55,12,-23
143,109,45,4,-30
121,107,33,-6,-40
101,101,19,-14,-46
85,92,6,-14,-47
73,85,0,-6,-40
63,83,7,7,-28
54,89,25,21,-15
50,100,50,32,-7
54,112,72,37,-5
67,120,82,37,-7
84,122,78,32,-12
98,119,64,24,-18
101,114,49,14,-23
91,110,39,1,-30
74,106,38,-11,-39
61,104,40,-22,-50
60,101,41,-30,-60
73,99,35,-33,-67
91,98,22,-33,-69
99,98,6,-31,-67
87,100,-7,-29,-64
54,101,-12,-28,-64
14,101,-10,-30,-66
-16,97,-3,-35,-71
-23,92,1,-41,-76
-8,88,2,-47,-80
20,86,-2,-52,-81
44,88,-5,-54,-80
53,95,-3,-50,-78
46,103,6,-41,-75
30,112,17,-30,-72
17,118,26,-19,-69
15,121,29,-13,-67
24,119,23,-14,-67
38,115,12,-22,-68
46,110,2,-34,-73
42,105,-2,-47,-79
24,101,2,-58,-85
-2,98,13,-65,-87
-24,97,24,-68,-82
-34,96,34,-65,-72
-28,97,39,-60,-60
-10,100,42,-53,-49
7,103,45,-46,-44
17,107,49,-40,-46
16,108,54,-35,-53
13,106,58,-29,-62
16,101,60,-24,-66
27,93,57,-19,-64
41,86,52,-15,-57
46,83,45,-14,-49
35,85,40,-17,-45
7,92,36,-24,-47
-24,101,36,-33,-55
-45,109,36,-44,-67
-46,114,37,-52,-79
-30,113,37,-55,-85
-5,109,39,-52,-83
18,106,44,-42,-73
29,108,55,-28,-60
27,117,71,-12,-47
14,132,89,0,-40
-5,149,103,8,-39
-22,164,110,10,-45
-30,172,110,8,-53
-24,173,104,6,-57
-6,170,100,4,-55
19,166,100,1,-47
39,161,106,-4,-38
47,157,116,-9,-33
44,151,123,-15,-35
38,144,125,-19,-44
36,135,120,-22,-57
41,126,110,-25,-71
51,119,97,-30,-82
54,114,86,-39,-90
44,112,79,-50,-96
23,110,75,-60,-100
-2,107,75,-66,-103
-22,104,78,-68,-105
-32,98,79,-67,-106
-35,91,79,-67,-105
-36,82,77,-71,-105
-37,73,73,-77,-104
-36,67,70,-83,-102
-28,65,71,-83,-98
-10,70,75,-77,-92
15,79,79,-66,-88
40,89,80,-54,-87
55,96,76,-44,-88
54,98,67,-39,-92
38,95,59,-40,-94
13,89,53,-44,-93
-12,82,53,-51,-90
-26,78,58,-58,-86
-26,76,65,-63,-85
-12,77,73,-64,-86
12,81,80,-59,-87
39,89,85,-52,-86
65,97,90,-45,-82
85,104,93,-43,-77
98,107,92,-47,-72
103,105,89,-54,-71
99,100,84,-59,-71
87,97,79,-59,-70
70,99,76,-53,-67
51,106,73,-44,-61
34,115,69,-36,-57
22,123,61,-35,-58
20,124,48,-39,-66
28,119,34,-46,-81
43,110,22,-53,-97
62,99,13,-59,-109
79,89,10,-64,-116
89,81,10,-70,-117
88,74,12,-76,-115
75,69,14,-82,-114
54,64,15,-85,-114
29,63,15,-83,-116
7,64,14,-76,-118
-4,65,14,-68,-120
-3,65,15,-61,-119
10,62,19,-55,-116
27,55,26,-52,-111
41,48,36,-50,-104
49,43,48,-48,-97
57,44,59,-46,-89
72,51,66,-43,-83
104,61,69,-39,-78
156,70,69,-35,-73
219,75,67,-30,-66
284,76,70,-24,-53
341,77,81,-12,-30
396,86,104,7,6
458,110,140,36,55
538,149,186,76,113
638,199,234,118,170
745,247,275,156,216
839,283,300,178,241
901,300,304,182,243
924,298,288,167,222
911,281,256,141,184
869,256,216,112,137
804,229,173,84,87
722,202,133,59,39
625,177,97,33,-9
517,154,66,3,-56
401,133,37,-32,-105
275,114,11,-67,-153
136,96,-14,-97,-197
-18,79,-35,-116,-232
-178,62,-50,-120,-253
-323,48,-58,-111,-261
-427,38,-60,-95,-257
-471,36,-58,-77,-245
-457,40,-54,-64,-230
-408,50,-50,-55,-214
-355,61,-44,-50,-197
-319,72,-33,-46,-179
-297,81,-15,-43,-160
-272,88,10,-40,-142
-224,96,37,-39,-126
-149,103,60,-38,-111
-63,111,76,-35,-98
9,118,83,-29,-85
50,125,83,-17,-75
59,131,78,-3,-70
53,137,69,8,-70
49,142,58,13,-75
56,148,48,13,-79
70,153,41,11,-80
80,160,41,13,-75
79,167,47,20,-66
73,173,56,30,-59
71,176,64,36,-59
81,174,65,35,-66
99,166,60,24,-77
112,154,53,8,-87
107,140,50,-8,-92
83,129,54,-21,-94
53,120,63,-30,-94
36,114,73,-40,-99
45,109,77,-51,-108
76,103,72,-64,-119
109,97,60,-76,-129
123,89,44,-85,-134
106,82,31,-87,-132
72,78,24,-84,-127
44,76,24,-78,-120
47,77,29,-70,-115
84,80,36,-63,-114
135,83,41,-58,-115
170,86,44,-57,-116
165,85,45,-58,-117
121,81,46,-60,-115
63,76,48,-60,-112
28,71,51,-58,-107
36,68,55,-53,-103
82,70,60,-46,-101
137,75,64,-41,-100
165,82,67,-38,-99
146,88,69,-38,-96
89,93,69,-40,-90
24,96,67,-40,-81
-13,98,65,-36,-71
-5,99,62,-29,-63
40,99,61,-20,-57
94,99,59,-12,-55
127,98,58,-9,-56
126,97,54,-11,-59
102,94,50,-17,-63
78,92,44,-24,-68
77,92,40,-30,-71
100,94,39,-33,-69
134,97,43,-34,-63
154,101,49,-32,-54
143,103,53,-29,-45
106,103,53,-25,-41
63,99,47,-22,-42
37,93,39,-20,-47
38,89,34,-19,-53
61,89,35,-20,-55
87,93,43,-22,-52
102,100,55,-26,-48
101,107,64,-32,-45
95,111,66,-38,-45
98,111,64,-45,-45
116,110,61,-48,-42
146,111,64,-49,-35
176,116,77,-48,-25
195,124,98,-45,-17
197,130,118,-44,-16
184,129,129,-45,-22
164,121,128,-47,-32
143,109,116,-48,-40
126,99,102,-48,-40
116,96,93,-45,-34
114,101,91,-42,-25
117,112,93,-40,-20
119,122,96,-40,-21
114,125,94,-41,-26
98,122,88,-41,-29
74,114,84,-39,-28
53,107,83,-34,-21
45,103,87,-27,-12
57,103,91,-19,-6
85,106,91,-13,-6
117,109,84,-6,-11
137,110,75,0,-18
138,108,66,6,-22
124,104,62,10,-24
103,98,61,9,-23
87,91,60,2,-22
80,84,56,-8,-23
78,78,48,-20,-26
76,75,39,-29,-27
71,74,36,-32,-26
65,76,40,-31,-21
65,78,50,-29,-13
76,79,60,-27,-7
95,78,64,-28,-5
116,78,62,-28,-7
132,80,54,-27,-11
138,86,46,-21,-15
135,95,40,-12,-16
128,103,35,-3,-16
118,105,29,2,-15
105,98,20,1,-15
87,84,8,-5,-16
66,68,-4,-13,-17
47,57,-9,-19,-15
39,55,-4,-20,-10
46,64,12,-18,-1
63,78,35,-15,9
79,93,60,-13,15
79,103,81,-13,18
61,108,95,-15,15
31,107,101,-18,9
7,104,100,-19,1
3,99,95,-18,-5
25,95,88,-17,-10
64,89,82,-18,-14
104,83,78,-19,-19
128,75,74,-22,-26
130,67,69,-26,-33
110,58,61,-31,-40
81,50,50,-35,-45
53,42,36,-40,-48
35,33,21,-44,-49
32,27,10,-48,-47
43,23,6,-49,-44
65,25,9,-46,-39
90,31,17,-41,-34
110,42,27,-33,-29
117,53,33,-25,-26
106,61,32,-20,-25
77,62,27,-20,-27
40,58,19,-25,-30
10,50,13,-32,-34
